model_key,resolution,aspect_ratio,duration_seconds,width,height,fps,video_tokens,unit_price_usd,api_cost_usd,cost_in_credits,cooly_credit_charge,final_price_credits
seedance-1-0-pro,480p,16:9,3,854,480,24,28822.5,0.0000025,0.072,36.028,54.04,60
seedance-1-0-pro,480p,16:9,4,854,480,24,38430,0.0000025,0.096,48.038,72.06,80
seedance-1-0-pro,480p,16:9,5,854,480,24,48037.5,0.0000025,0.120,60.047,90.07,100
seedance-1-0-pro,480p,16:9,6,854,480,24,57645,0.0000025,0.144,72.056,108.08,110
seedance-1-0-pro,480p,16:9,7,854,480,24,67252.5,0.0000025,0.168,84.066,126.10,130
seedance-1-0-pro,480p,16:9,8,854,480,24,76860,0.0000025,0.192,96.075,144.11,150
seedance-1-0-pro,480p,16:9,9,854,480,24,86467.5,0.0000025,0.216,108.084,162.13,170
seedance-1-0-pro,480p,16:9,10,854,480,24,96075,0.0000025,0.240,120.094,180.14,190
seedance-1-0-pro,480p,16:9,11,854,480,24,105682.5,0.0000025,0.264,132.103,198.15,200
seedance-1-0-pro,480p,16:9,12,854,480,24,115290,0.0000025,0.288,144.113,216.17,220
... all other rows ...
seedance-1-0-lite,1080p,21:9,12,2560,1080,24,777600,0.0000018,1.400,699.840,1049.76,1050
veo-3-fast,1080p,16:9,,,,,,,0.400,,200,300,300
veo-3-quality,1080p,16:9,,,,,,,2.000,,1000,1500,1500
